  GMT_timestamp, AFM_MET_time, AFM_upp_time, AFM_mode, AFM_fdir_imu_fail_flag, AFM_fdir_gps_fail_flag, AFM_fdir_star_tracker_fail_flag, AFM_fdir_strike_count_imu, AFM_fdir_strike_count_gps, AFM_fdir_strike_count_star_tracker, AFM_fdir_num_resets_imu, AFM_fdir_num_resets_gps, AFM_fdir_num_resets_star_tracker, AFM_fdir_loss_of_imu, AFM_fdir_loss_of_gps, AFM_fdir_loss_of_star_tracker, CNTRL_mass_total, CNTRL_mass_prop_used, CNTRL_jet_on_times_0, CNTRL_jet_on_times_1, CNTRL_jet_on_times_2, CNTRL_jet_on_times_3, CNTRL_jet_on_times_4, CNTRL_jet_on_times_5, CNTRL_jet_on_times_6, DIO_powerOut_star_tracker, DIO_powerOut_gps, DIO_powerOut_imu, DIO_powerOut_pgnc_sys, DIO_chuteOut_super_drogue_deploy, DIO_chuteOut_parafoil_deploy, UPP_ecef_longitude, UPP_ecef_gd_latitude, UPP_ecef_gd_altitude, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_0, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_1, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_2, UPP_ecef_V_sc_cg_wrt_ecef_0, UPP_ecef_V_sc_cg_wrt_ecef_1, UPP_ecef_V_sc_cg_wrt_ecef_2, UPP_ecef_DV_accum_imu_ecef_0, UPP_ecef_DV_accum_imu_ecef_1, UPP_ecef_DV_accum_imu_ecef_2, UPP_esef_flight_path_angle, UPP_rot_Q_INRTL_to_STRUCT_RAW_s, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_0, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_1, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_2, UPP_rot_T_INRTL_to_ECEF_0_0, UPP_rot_T_INRTL_to_ECEF_0_1, UPP_rot_T_INRTL_to_ECEF_0_2, UPP_rot_T_INRTL_to_ECEF_1_0, UPP_rot_T_INRTL_to_ECEF_1_1, UPP_rot_T_INRTL_to_ECEF_1_2, UPP_rot_T_INRTL_to_ECEF_2_0, UPP_rot_T_INRTL_to_ECEF_2_1, UPP_rot_T_INRTL_to_ECEF_2_2
16-015-08:36:09.7,2.81235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:10.2,2.81235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:10.7,2.81235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:11.2,3.812319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:11.7,3.812319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:12.2,4.81225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:12.7,4.81225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:12.7,5.812984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:13.7,5.812984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:13.7,6.812392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:14.7,6.812392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:14.7,7.812891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:15.7,7.812891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:15.7,8.812944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:16.7,9.81324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:17.2,10.812871,1072617253,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:18.2,10.812871,1072617253,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-015-08:36:18.3,11.813381,1072617254,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.931199466,0.874339111,154335.1158,-4106102.299,876872.6369,4988038.323,53.12872901,-7485.431448,1121.917727,0.215464704,-0.169639187,0.245568018,-0.023193711,0.457864102,0.044675078,-0.780688076,0.42295476,0.491452839,-0.870903895,-0.000716259,0.870903093,0.491453359,-0.001182362,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:19.2,11.813381,1072617254,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.932398867,0.874545074,154213.1616,-4106065.633,871716.706,4988807.09,56.3971021,-7486.295818,1116.984312,0.230385653,-0.176127575,0.25560567,-0.023183218,0.457430219,0.045028896,-0.780850629,0.423086621,0.491484909,-0.870885797,-0.000716303,0.870884995,0.49148543,-0.001182335,0.001381731,-4.27171E-05,0.999999044
